sede_nombre;direccion;Longitud;Latitud;Localidad;Subred;telefono;email;Naturaleza jurídica;Complejidad
Clínica La Inmaculada;KR 7 68 70;-74,05710014;4,651620869;Chapinero;Norte;5870366;inmaculada@clinicalainmaculada.org;Privada;BAJA
Centro de Atención En Salud Cafam Floresta;AK 68 90 88;-74,0749953;4,686709467;Barrios Unidos;Norte;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Privada;BAJA
Centro de Atención En Salud Cafam Suba;KR 113 C 142 A 98;-74,10329678;4,748005027;Suba;Norte;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Privada;BAJA
Fundación Santa Fe de Bogotá;CL 119 7 75;-74,03293464;4,69617701;Usaquén;Norte;6030303 ext. 5105;adriana.urrego@fsfb.org.co;Privada;ALTA
Hospital Universitario Clínica San Rafael;KR 8 17 45 SUR;-74,09108594;4,576605361;San Cristóbal;Centro Oriente;7464714 EXT. 2740;direcciongeneral1@stewardcolombia.org;Privada;ALTA
Fundación Hospital de La Misericordia;AK 14 1 65;-74,08780586;4,593419751;Los Mártires;Centro Oriente;3811970 EXT 227;lidercalidad@homifundacion.org.co;Privada;ALTA
Clínica de Nuestra Señora de La Paz;KR 69 12 75;-74,12524693;4,638212339;Kennedy;Sur Occidente;2921277;gestorcalidad@cllapaz.com.co;Privada;BAJA
Instituto Nacional de Cancerología;Cl 1 9 85;-74,08427613;4,588775777;San Cristóbal;Centro Oriente;0913905012 Ext. 2000 - 2001;direccion@cancer.gov.co;Pública;MEDIANA
Fundación Abood Shaio;DG 115 A 70 C 75;-74,07330768;4,69834751;Suba;Norte;2261025;direcciongeneral@shaio.org;Privada;ALTA
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá;AK 68 68 B 31;-74,0889642;4,672834062;Engativá;Norte;7460909;dsalud@cruzrojabogota.org.co;Privada;BAJA
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Norte;AC 134 7 B 41;-74,03096533;4,711936533;Usaquén;Norte;7460909;dsalud@cruzrojabogota.org.co;Privada;BAJA
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Alquería;AK 68 31 41 SUR;-74,13069155;4,606863739;Kennedy;Sur Occidente;7460909;dsalud@cruzrojabogota.org.co;Privada;BAJA
Clínica Nueva;CL 45 F 16 A 11;-74,07066124;4,634348081;Teusaquillo;Norte;3274444 ext 515-530;calidad@clinicanueva.com;Privada;MEDIANA
Salud Sura Calle 100 Bogotá;Cl. 100 19 A 35;-74,05330016;4,685845063;Chapinero;Norte;(1) 487 38 88 / 3164625445;rqext@suramericana.com.co;Privada;BAJA
Clínica de La Mujer;KR 19 C 91 17;-74,05716959;4,677630739;Chapinero;Norte;6161799- 3506005706;Elizabeth.Parada@QuironSalud.com;Privada;MEDIANA
Clínica Infantil Colsubsidio;CL 66 10 48;-74,06128709;4,651803035;Chapinero;Norte;7467310 extensión 75210;calidad.colsubsidio@colsubsidio.com;Privada;MEDIANA
Clínica Colsubsidio Ciudad Roma;CL 53 SUR 79 D 71;-74,17239245;4,615232824;Kennedy;Sur Occidente;7420100 Ext. 74439;calidad.colsubsidio@colsubsidio.com;Privada;MEDIANA
Centro Medico Colsubsidio Quiroga;CL 38 SUR 18 30;-74,11880453;4,576373377;Rafael Uribe Uribe;Centro Oriente;7607461 Ext. 101;calidad.colsubsidio@colsubsidio.com;Privada;BAJA
Clínica de Ortopedia Y Accidentes Laborales;CL 6 A 70 06;-74,1308998;4,630339894;Kennedy;Sur Occidente;;gerenciasmo@coal.clinic;Privada;BAJA
Sociedad de Cirugía de Bogotá - Hospital de San José;CL 10 18 75;-74,08589037;4,603998294;Los Mártires;Centro Oriente;3538000 ext 523 o 509;calidad@hospitaldesanjose.org.co;Privada;ALTA
Clínica Palermo;CL 45 C 22 02;-74,07366275;4,635640609;Teusaquillo;Norte;7454500;GestiondeCalidad@clinicapalermo.com.co;Privada;MEDIANA
Clínica Juan N Corpas Ltda;KR 111 159 A 61;-74,09259788;4,76076659;Suba;Norte;6865000 Ext.1060 - 3233103491;dir_calidad@clinicajuanncorpas.com;Privada;MEDIANA
Fundación Cardio Infantil Instituto de Cardiología;CL 163 A 13 B 60;-74,03440547;4,741266998;Usaquén;Norte;6672727 Ext. 53304 Cel. 3183569506;pcasallas@lacardio.org;Privada;ALTA
Centro Policlinico Del Olaya;KR 20 23 23 SUR;-74,1057183;4,583047441;Rafael Uribe Uribe;Centro Oriente;3612888;zayda.rodriguez@cpolaya.com.co;Privada;MEDIANA
Clínica Reina Sofia;KR 21 127 03 ;-74,05161009;4,706786665;Usaquén;Norte;6466060 ext 5717528;calidadclinica@colsanitas.com;Privada;ALTA
Clínica Universitaria Colombia;Cl 23 66 46;-74,10698778;4,647611083;Teusaquillo;Norte;5948650;calidadclinica@colsanitas.com;Privada;ALTA
