Año;Mes;Total RISS;Centro Oriente;Norte;Sur;Sur Occidente;Sede priorizada Santa Clara;Sede priorizada Engativá Calle 80;Sede priorizada Simón Bolívar;Sede priorizada El Tunal;Sede priorizada Hospital de Bosa;Sede priorizada Occidente de Kennedy
2021;Enero;73,27%;78,96%;63,54%;77,11%;71,39%;95,02%;55,17%;61,72%;89,22%;52,88%;112,51%
2021;Febrero;65,58%;65,20%;60,33%;70,33%;65,15%;91,46%;54,10%;61,63%;77,30%;54,30%;96,25%
2021;Marzo;70,12%;75,46%;61,52%;72,02%;70,09%;96,05%;48,07%;79,36%;82,63%;62,29%;92,00%
2021;Abril;73,73%;82,03%;61,64%;71,50%;78,29%;109,16%;54,66%;82,35%;87,63%;79,62%;95,37%
2021;Mayo;84,31%;98,18%;70,69%;88,64%;79,68%;121,84%;66,18%;79,02%;116,98%;84,36%;91,75%
2021;Junio;96,79%;118,69%;78,29%;102,87%;88,82%;136,38%;75,46%;82,20%;125,73%;97,12%;97,04%
2021;Julio;75,30%;92,24%;55,02%;73,30%;82,04%;116,91%;59,46%;76,86%;95,79%;90,65%;96,88%
2021;Agosto;72,62%;88,12%;61,96%;58,72%;81,95%;114,17%;54,17%;78,84%;67,44%;90,13%;95,29%
2021;Septiembre;79,31%;96,00%;73,02%;65,44%;84,06%;125,53%;61,69%;83,54%;67,99%;82,77%;94,51%
2021;Octubre;82,70%;95,34%;73,89%;75,98%;85,01%;130,48%;62,85%;83,65%;80,45%;96,34%;95,55%
2021;Noviembre;84,35%;99,85%;77,06%;73,41%;86,47%;129,59%;67,95%;86,72%;78,68%;99,85%;90,08%
2021;Diciembre;78,92%;97,67%;75,52%;62,00%;75,99%;130,93%;68,77%;85,71%;67,58%;99,71%;78,96%
2022;Enero;79,58%;84,15%;75,20%;75,48%;83,92%;114,60%;69,61%;82,64%;88,83%;103,14%;91,47%
2022;Febrero;84,38%;92,29%;79,67%;81,23%;85,84%;125,41%;67,97%;97,61%;97,97%;101,62%;89,60%
2022;Marzo;87,36%;96,31%;77,85%;87,67%;89,55%;135,39%;70,05%;94,10%;93,96%;102,65%;90,25%
2022;Abril;87,60%;91,76%;78,89%;87,11%;93,01%;128,31%;61,14%;100,61%;84,45%;81,13%;96,78%
2022;Mayo;101,86%;100,90%;90,80%;107,01%;108,62%;133,27%;63,19%;111,02%;97,49%;99,02%;117,98%
2022;Junio;101,66%;104,06%;93,77%;109,94%;100,74%;143,49%;56,07%;118,11%;110,61%;112,89%;110,68%
2022;Julio;100,78%;105,59%;94,39%;120,59%;88,58%;145,06%;75,47%;124,54%;124,30%;104,27%;104,70%
2022;Agosto;94,73%;96,58%;86,79%;103,14%;94,81%;123,36%;62,40%;109,74%;106,11%;93,94%;123,32%
2022;Septiembre;93,03%;103,66%;84,95%;96,44%;90,59%;165,57%;62,22%;107,73%;106,92%;83,63%;122,09%
2022;Octubre;90,11%;106,64%;79,25%;93,06%;86,95%;165,57%;62,22%;107,73%;106,92%;83,63%;122,09%
2022;Noviembre;96,66%;110,41%;84,94%;110,41%;87,32%;203,81%;66,85%;106,92%;110,74%;80,47%;116,18%
