Conceptos;Naturaleza;Cantidad;%
Adultos;Privada;5611;37,00%
Atención del Parto;Privada;36;0,00%
Cuna Básico Neonatal;Privada;82;1,00%
Cuna Intensiva Neonatal;Privada;32;0,00%
Cuna Intermedia Neonatal;Privada;24;0,00%
Incubadora Básico Neonatal;Privada;56;0,00%
Incubadora Intensiva Neonatal;Privada;157;1,00%
Incubadora Intermedia Neonatal;Privada;155;1,00%
Intensiva Adultos;Privada;843;6,00%
Intensiva Pediátrica;Privada;204;1,00%
Intensiva Quemado Adulto;Privada;10;0,00%
Intensiva Quemado pediátrica;Privada;3;0,00%
Intermedia Adultos;Privada;405;3,00%
Intermedia Pediátrica;Privada;74;0,00%
Paciente crónico con ventilador;Privada;154;1,00%
Paciente crónico sin ventilador;Privada;497;3,00%
Pediátrica;Privada;1052;7,00%
Salud Mental Adulto;Privada;1243;8,00%
Salud Mental Pediátrico;Privada;292;2,00%
SPA Adultos;Privada;117;1,00%
SPA Básico Adultos;Privada;276;2,00%
SPA Básico Pediátricos;Privada;24;0,00%
SPA Pediátricas;Privada;56;0,00%
Trabajo de Parto y Recuperación;Privada;29;0,00%
Adultos;Pública;2092;14,00%
Atención del Parto;Pública;216;1,00%
Cuna Básico Neonatal;Pública;96;1,00%
Cuna Intensiva Neonatal;Pública;19;0,00%
Cuna Intermedia Neonatal;Pública;23;0,00%
Incubadora Básico Neonatal;Pública;31;0,00%
Incubadora Intensiva Neonatal;Pública;61;0,00%
Incubadora Intermedia Neonatal;Pública;93;1,00%
Intensiva Adultos;Pública;234;2,00%
Intensiva Pediátrica;Pública;44;0,00%
Intensiva Quemado Adulto;Pública;18;0,00%
Intensiva Quemado pediátrica;Pública;13;0,00%
Intermedia Adultos;Pública;103;1,00%
Intermedia Pediátrica;Pública;21;0,00%
Paciente crónico con ventilador;Pública;;0,00%
Paciente crónico sin ventilador;Pública;17;0,00%
Pediátrica;Pública;431;3,00%
Salud Mental Adulto;Pública;300;2,00%
Salud Mental Pediátrico;Pública;16;0,00%
SPA Adultos;Pública;;0,00%
SPA Básico Adultos;Pública;;0,00%
SPA Básico Pediátricos;Pública;;0,00%
SPA Pediátricas;Pública;;0,00%
Trabajo de Parto y Recuperación;Pública;10;0,00%
Total;;15270;100,00%
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
