codigo_sede,tipo_cama,total,ocupadas,disponibles,ocupadas_snapshot_reps,medido_en
110010532201,CAMAS-Salud Mental Adulto,108,67,41,119,2026-08-22T19:30:00-05:00
110010532201,CAMAS-Salud Mental Pediátrico,19,15,4,21,2026-08-22T19:30:00-05:00
110010559704,CAMAS-Adultos,24,17,7,27,2026-08-22T19:30:00-05:00
110010559711,CAMAS-Adultos,24,17,7,27,2026-08-22T19:30:00-05:00
110010561801,CAMAS-Pediátrica,40,29,11,40,2026-08-22T19:30:00-05:00
110010561801,CAMAS-UCI Adultos,37,27,10,34,2026-08-22T19:30:00-05:00
110010561801,CAMAS-Cuidado Intermedio Adulto,7,5,2,7,2026-08-22T19:30:00-05:00
110010561801,CAMAS-Cuidado Intermedio Pediátrico,4,3,1,4,2026-08-22T19:30:00-05:00
110010561801,CAMAS-Adultos,204,116,88,198,2026-08-22T19:30:00-05:00
110010561801,CAMAS-UCI Pediátrica,5,3,2,5,2026-08-22T19:30:00-05:00
110010566801,CAMAS-Adultos,214,201,13,206,2026-08-22T19:30:00-05:00
110010566801,CAMAS-UCI Pediátrica,8,7,1,8,2026-08-22T19:30:00-05:00
110010566801,CAMAS-Cuidado Intermedio Adulto,10,10,0,10,2026-08-22T19:30:00-05:00
110010566801,CAMAS-Cuidado Intermedio Pediátrico,2,2,0,2,2026-08-22T19:30:00-05:00
110010566801,CAMAS-Pediátrica,29,28,1,28,2026-08-22T19:30:00-05:00
110010566801,CAMAS-UCI Adultos,40,40,0,40,2026-08-22T19:30:00-05:00
110010568101,CAMAS-UCI Pediátrica,41,29,12,40,2026-08-22T19:30:00-05:00
110010568101,CAMAS-Intermedia Pediátrica,16,13,3,16,2026-08-22T19:30:00-05:00
110010568101,CAMAS-Pediátrica,334,257,77,333,2026-08-22T19:30:00-05:00
110010572501,CAMAS-Adultos,10,6,4,0,2026-08-22T19:30:00-05:00
110010606501,CAMAS-Adultos,155,155,0,142,2026-08-22T19:30:00-05:00
110010606501,CAMAS-Pediátrica,25,25,0,24,2026-08-22T19:30:00-05:00
110010606501,CAMAS-UCI Adultos,17,17,0,15,2026-08-22T19:30:00-05:00
110010606501,CAMAS-Cuidado Intermedio Adulto,4,4,0,0,2026-08-22T19:30:00-05:00
110010606501,CAMAS-UCI Pediátrica,6,6,0,5,2026-08-22T19:30:00-05:00
110010606501,CAMAS-Cuidado Intermedio Pediátrico,2,2,0,0,2026-08-22T19:30:00-05:00
110010644701,CAMAS-UCI Adultos,70,54,16,41,2026-08-22T19:30:00-05:00
110010644701,CAMAS-Pediátrica,13,10,3,8,2026-08-22T19:30:00-05:00
110010644701,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,1,2026-08-22T19:30:00-05:00
110010644701,CAMAS-Adultos,165,98,67,138,2026-08-22T19:30:00-05:00
110010644701,CAMAS-UCI Pediátrica,7,4,3,7,2026-08-22T19:30:00-05:00
110010644701,CAMAS-Cuidado Intermedio Adulto,1,1,0,1,2026-08-22T19:30:00-05:00
110010645301,CAMAS-Adultos,24,19,5,27,2026-08-22T19:30:00-05:00
110010645318,CAMAS-Adultos,24,23,1,27,2026-08-22T19:30:00-05:00
110010645319,CAMAS-Adultos,24,17,7,47,2026-08-22T19:30:00-05:00
110010752101,CAMAS-Cuidado Intermedio Adulto,13,12,1,9,2026-08-22T19:30:00-05:00
110010752101,CAMAS-Adultos,66,62,4,61,2026-08-22T19:30:00-05:00
110010752101,CAMAS-UCI Adultos,15,14,1,10,2026-08-22T19:30:00-05:00
110010778209,CAMAS-Adultos,24,14,10,27,2026-08-22T19:30:00-05:00
110010793901,CAMAS-Pediátrica,10,9,1,6,2026-08-22T19:30:00-05:00
110010793901,CAMAS-Adultos,46,42,4,34,2026-08-22T19:30:00-05:00
110010793901,CAMAS-UCI Adultos,4,4,0,2,2026-08-22T19:30:00-05:00
110010793901,CAMAS-Cuidado Intermedio Adulto,3,3,0,0,2026-08-22T19:30:00-05:00
110010817102,CAMAS-Adultos,6,3,3,6,2026-08-22T19:30:00-05:00
110010817102,CAMAS-Pediátrica,152,84,68,120,2026-08-22T19:30:00-05:00
110010817102,CAMAS-Cuidado Intermedio Pediátrico,7,6,1,7,2026-08-22T19:30:00-05:00
110010817102,CAMAS-UCI Pediátrica,13,10,3,13,2026-08-22T19:30:00-05:00
110010817103,CAMAS-Cuidado Intermedio Adulto,3,2,1,3,2026-08-22T19:30:00-05:00
110010817103,CAMAS-Adultos,101,78,23,101,2026-08-22T19:30:00-05:00
110010817103,CAMAS-UCI Adultos,20,12,8,11,2026-08-22T19:30:00-05:00
110010817136,CAMAS-Adultos,24,13,11,19,2026-08-22T19:30:00-05:00
110010843701,CAMAS-Adultos,11,8,3,5,2026-08-22T19:30:00-05:00
110010867901,CAMAS-Cuidado Intermedio Pediátrico,2,2,0,1,2026-08-22T19:30:00-05:00
110010867901,CAMAS-UCI Adultos,19,19,0,15,2026-08-22T19:30:00-05:00
