handshake_id,caso_id,codigo_sede,nombre_sede,canal,estado,motivo_rechazo,enviado_en,expira_en,respondido_en,latencia_s,eta_min_al_despachar,intento
HSK-0001,CAS-0001,110013028929,Unidad de Servicios de Salud Victoria,telegram,rechazado,Hemodinamia en procedimiento,2026-08-22T19:02:33-05:00,2026-08-22T19:04:03-05:00,2026-08-22T19:03:05-05:00,32,17.7,1
HSK-0002,CAS-0001,110013029402,Unidad de Servicios de Salud Meissen,whatsapp,rechazado,Sin especialista de turno,2026-08-22T19:03:13-05:00,2026-08-22T19:04:43-05:00,2026-08-22T19:04:29-05:00,76,20.2,2
HSK-0003,CAS-0001,110013028902,Unidad de Servicios de Salud San Blas,whatsapp,rechazado,Sala de reanimación ocupada,2026-08-22T19:04:37-05:00,2026-08-22T19:06:07-05:00,2026-08-22T19:05:40-05:00,63,23.7,3
HSK-0004,CAS-0001,110010566801,Hospital Universitario Clínica San Rafael,consola,rechazado,"Quirófano ocupado, tiempo estimado 90 minutos",2026-08-22T19:05:50-05:00,2026-08-22T19:07:20-05:00,2026-08-22T19:07:08-05:00,78,24.8,4
HSK-0005,CAS-0002,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T19:05:52-05:00,2026-08-22T19:07:22-05:00,2026-08-22T19:06:07-05:00,15,7.1,1
HSK-0006,CAS-0002,110010606501,Instituto Nacional de Cancerología,whatsapp,aceptado,,2026-08-22T19:06:16-05:00,2026-08-22T19:07:46-05:00,2026-08-22T19:07:14-05:00,58,7.6,2
HSK-0007,CAS-0003,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T19:08:49-05:00,2026-08-22T19:10:19-05:00,2026-08-22T19:10:06-05:00,77,1.0,1
HSK-0008,CAS-0004,110013029654,Hospital de Bosa,telegram,rechazado,Sin camas UCI adultos,2026-08-22T19:12:19-05:00,2026-08-22T19:13:49-05:00,2026-08-22T19:12:39-05:00,20,1.9,1
HSK-0009,CAS-0004,110010817103,Clínica Colsubsidio Ciudad Roma,telegram,timeout,,2026-08-22T19:12:49-05:00,2026-08-22T19:14:19-05:00,,,11.8,2
HSK-0010,CAS-0004,110013029601,Hospital Occidente de Kennedy,whatsapp,aceptado,,2026-08-22T19:14:24-05:00,2026-08-22T19:15:54-05:00,2026-08-22T19:14:41-05:00,17,16.1,3
HSK-0011,CAS-0005,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-22T19:13:09-05:00,2026-08-22T19:14:39-05:00,2026-08-22T19:13:30-05:00,21,2.8,1
HSK-0012,CAS-0006,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,telegram,aceptado,,2026-08-22T19:20:11-05:00,2026-08-22T19:21:41-05:00,2026-08-22T19:21:18-05:00,67,3.2,1
HSK-0013,CAS-0007,110013029654,Hospital de Bosa,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T19:24:15-05:00,2026-08-22T19:25:45-05:00,2026-08-22T19:24:37-05:00,22,2.4,1
HSK-0014,CAS-0007,110010817103,Clínica Colsubsidio Ciudad Roma,whatsapp,aceptado,,2026-08-22T19:24:41-05:00,2026-08-22T19:26:11-05:00,2026-08-22T19:25:45-05:00,64,13.6,2
HSK-0015,CAS-0008,110013028901,Unidad de Servicios de Salud Santa Clara Hospital Universitario,telegram,aceptado,,2026-08-22T19:32:33-05:00,2026-08-22T19:34:03-05:00,2026-08-22T19:33:14-05:00,41,0.7,1
HSK-0016,CAS-0009,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T19:34:02-05:00,2026-08-22T19:35:32-05:00,2026-08-22T19:35:09-05:00,67,3.3,1
HSK-0017,CAS-0010,110013029103,Unidad de Servicios de Salud Engativá Calle 80,telegram,rechazado,Hemodinamia en procedimiento,2026-08-22T19:39:09-05:00,2026-08-22T19:40:39-05:00,2026-08-22T19:40:20-05:00,71,3.8,1
HSK-0018,CAS-0010,110010918668,Clínica Infantil Santa María Del Lago,whatsapp,aceptado,,2026-08-22T19:40:27-05:00,2026-08-22T19:41:57-05:00,2026-08-22T19:40:49-05:00,22,4.2,2
HSK-0019,CAS-0011,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T19:41:24-05:00,2026-08-22T19:42:54-05:00,2026-08-22T19:42:10-05:00,46,3.0,1
HSK-0020,CAS-0012,110013390301,Loscobos Medical Center SAS - Loscobos,telegram,rechazado,"Quirófano ocupado, tiempo estimado 90 minutos",2026-08-22T19:42:01-05:00,2026-08-22T19:43:31-05:00,2026-08-22T19:42:22-05:00,21,3.6,1
HSK-0021,CAS-0012,110010918608,Clínica Reina Sofia,consola,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T19:42:28-05:00,2026-08-22T19:43:58-05:00,2026-08-22T19:43:05-05:00,37,5.2,2
HSK-0022,CAS-0012,110010911101,Fundación Cardio Infantil Instituto de Cardiología,whatsapp,rechazado,Sin cupo en observación pediátrica,2026-08-22T19:43:14-05:00,2026-08-22T19:44:44-05:00,2026-08-22T19:43:46-05:00,32,6.3,3
HSK-0023,CAS-0012,110010561801,Fundación Santa Fe de Bogotá,consola,rechazado,Tomógrafo fuera de servicio,2026-08-22T19:43:54-05:00,2026-08-22T19:45:24-05:00,2026-08-22T19:44:06-05:00,12,7.5,4
HSK-0024,CAS-0013,110011613301,Fundación Hospital Infantil Universitario de San Jose,telegram,aceptado,,2026-08-22T19:43:38-05:00,2026-08-22T19:45:08-05:00,2026-08-22T19:44:03-05:00,25,1.3,1
HSK-0025,CAS-0014,110012215001,Clínica Medical S.A.S.,telegram,aceptado,,2026-08-22T19:52:23-05:00,2026-08-22T19:53:53-05:00,2026-08-22T19:53:16-05:00,53,1.6,1
HSK-0026,CAS-0015,110013029601,Hospital Occidente de Kennedy,telegram,rechazado,Sin especialista de turno,2026-08-22T19:55:37-05:00,2026-08-22T19:57:07-05:00,2026-08-22T19:56:49-05:00,72,4.7,1
HSK-0027,CAS-0015,110010966601,Clínica Del Occidente S.A.,whatsapp,aceptado,,2026-08-22T19:56:57-05:00,2026-08-22T19:58:27-05:00,2026-08-22T19:57:08-05:00,11,5.0,2
HSK-0028,CAS-0016,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-22T19:59:59-05:00,2026-08-22T20:01:29-05:00,2026-08-22T20:00:26-05:00,27,1.7,1
HSK-0029,CAS-0017,110013028929,Unidad de Servicios de Salud Victoria,telegram,aceptado,,2026-08-22T20:09:05-05:00,2026-08-22T20:10:35-05:00,2026-08-22T20:10:12-05:00,67,17.7,1
HSK-0030,CAS-0018,110012215001,Clínica Medical S.A.S.,telegram,rechazado,Sin cupo en observación pediátrica,2026-08-22T20:12:04-05:00,2026-08-22T20:13:34-05:00,2026-08-22T20:13:12-05:00,68,0.8,1
HSK-0031,CAS-0018,110013029601,Hospital Occidente de Kennedy,telegram,rechazado,Tomógrafo fuera de servicio,2026-08-22T20:13:22-05:00,2026-08-22T20:14:52-05:00,2026-08-22T20:13:54-05:00,32,1.3,2
HSK-0032,CAS-0018,110010966601,Clínica Del Occidente S.A.,whatsapp,aceptado,,2026-08-22T20:14:02-05:00,2026-08-22T20:15:32-05:00,2026-08-22T20:14:30-05:00,28,5.4,3
HSK-0033,CAS-0019,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T20:14:28-05:00,2026-08-22T20:15:58-05:00,2026-08-22T20:14:44-05:00,16,1.6,1
HSK-0034,CAS-0020,110010966601,Clínica Del Occidente S.A.,telegram,rechazado,Sin especialista de turno,2026-08-22T20:16:32-05:00,2026-08-22T20:18:02-05:00,2026-08-22T20:16:53-05:00,21,14.7,1
HSK-0035,CAS-0020,110010918630,Clínica Universitaria Colombia,consola,rechazado,Sala de reanimación ocupada,2026-08-22T20:17:03-05:00,2026-08-22T20:18:33-05:00,2026-08-22T20:17:45-05:00,42,15.5,2
HSK-0036,CAS-0020,110010918668,Clínica Infantil Santa María Del Lago,consola,timeout,,2026-08-22T20:17:55-05:00,2026-08-22T20:19:25-05:00,,,15.9,3
HSK-0037,CAS-0020,110013029601,Hospital Occidente de Kennedy,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T20:19:32-05:00,2026-08-22T20:21:02-05:00,2026-08-22T20:20:33-05:00,61,17.8,4
HSK-0038,CAS-0021,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,telegram,aceptado,,2026-08-22T20:21:40-05:00,2026-08-22T20:23:10-05:00,2026-08-22T20:22:00-05:00,20,6.3,1
HSK-0039,CAS-0022,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-22T20:26:12-05:00,2026-08-22T20:27:42-05:00,2026-08-22T20:26:59-05:00,47,3.9,1
HSK-0040,CAS-0023,110012215001,Clínica Medical S.A.S.,telegram,rechazado,Sin camas UCI adultos,2026-08-22T20:34:58-05:00,2026-08-22T20:36:28-05:00,2026-08-22T20:35:49-05:00,51,3.3,1
HSK-0041,CAS-0023,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-22T20:36:01-05:00,2026-08-22T20:37:31-05:00,2026-08-22T20:36:25-05:00,24,3.5,2
HSK-0042,CAS-0024,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T20:44:01-05:00,2026-08-22T20:45:31-05:00,2026-08-22T20:45:10-05:00,69,2.1,1
HSK-0043,CAS-0025,110013029103,Unidad de Servicios de Salud Engativá Calle 80,telegram,aceptado,,2026-08-22T20:46:57-05:00,2026-08-22T20:48:27-05:00,2026-08-22T20:48:01-05:00,64,3.3,1
HSK-0044,CAS-0026,110013029654,Hospital de Bosa,telegram,rechazado,"Quirófano ocupado, tiempo estimado 90 minutos",2026-08-22T20:49:01-05:00,2026-08-22T20:50:31-05:00,2026-08-22T20:50:01-05:00,60,1.2,1
HSK-0045,CAS-0026,110010817103,Clínica Colsubsidio Ciudad Roma,whatsapp,aceptado,,2026-08-22T20:50:09-05:00,2026-08-22T20:51:39-05:00,2026-08-22T20:50:52-05:00,43,10.9,2
HSK-0046,CAS-0027,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,telegram,aceptado,,2026-08-22T20:55:09-05:00,2026-08-22T20:56:39-05:00,2026-08-22T20:55:34-05:00,25,2.3,1
HSK-0047,CAS-0028,110010918630,Clínica Universitaria Colombia,telegram,aceptado,,2026-08-22T20:55:48-05:00,2026-08-22T20:57:18-05:00,2026-08-22T20:57:01-05:00,73,3.8,1
HSK-0048,CAS-0029,110013029625,Hospital Fontibón,telegram,rechazado,Sin camas UCI adultos,2026-08-22T20:57:02-05:00,2026-08-22T20:58:32-05:00,2026-08-22T20:57:32-05:00,30,0.4,1
HSK-0049,CAS-0029,110012156401,Medicentro Familiar IPS SAS,whatsapp,rechazado,Hemodinamia en procedimiento,2026-08-22T20:57:39-05:00,2026-08-22T20:59:09-05:00,2026-08-22T20:58:02-05:00,23,1.7,2
HSK-0050,CAS-0029,110013029603,Hospital Pediátrico Tintal,whatsapp,aceptado,,2026-08-22T20:58:10-05:00,2026-08-22T20:59:40-05:00,2026-08-22T20:58:31-05:00,21,5.7,3
HSK-0051,CAS-0030,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T21:00:10-05:00,2026-08-22T21:01:40-05:00,2026-08-22T21:00:25-05:00,15,5.2,1
HSK-0052,CAS-0031,110013029654,Hospital de Bosa,telegram,rechazado,"Quirófano ocupado, tiempo estimado 90 minutos",2026-08-22T21:02:42-05:00,2026-08-22T21:04:12-05:00,2026-08-22T21:03:55-05:00,73,1.9,1
