movil_id,lat,lng,precision_m,velocidad_kmh,disponible,reportado_en
AMB-001,4.710879,-74.113483,25,45,false,2026-08-22T19:41:35-05:00
AMB-001,4.636264,-74.213797,8,22,false,2026-08-22T19:00:59-05:00
AMB-001,4.485509,-74.111344,12,0,false,2026-08-22T20:55:14-05:00
AMB-001,4.697728,-74.104388,12,58,false,2026-08-22T21:38:23-05:00
AMB-001,4.632835,-74.220333,25,22,false,2026-08-22T22:06:06-05:00
AMB-001,4.493441,-74.115238,18,58,false,2026-08-22T23:28:14-05:00
AMB-001,4.695994,-74.126126,12,45,false,2026-08-22T23:59:04-05:00
AMB-001,4.629874,-74.222534,8,14,false,2026-08-23T00:58:09-05:00
AMB-001,4.485858,-74.124256,8,14,false,2026-08-23T01:50:59-05:00
AMB-001,4.704934,-74.110692,12,31,false,2026-08-23T02:18:45-05:00
AMB-001,4.630508,-74.202076,18,58,false,2026-08-23T03:26:14-05:00
AMB-001,4.477965,-74.114388,8,0,false,2026-08-23T03:31:44-05:00
AMB-001,4.703678,-74.108807,18,14,false,2026-08-23T04:26:32-05:00
AMB-001,4.643516,-74.224396,8,0,false,2026-08-23T05:51:14-05:00
AMB-001,4.491919,-74.122622,65,31,false,2026-08-23T06:36:01-05:00
AMB-002,4.607266,-74.089939,40,22,true,2026-08-22T19:00:24-05:00
AMB-002,4.637592,-74.199589,25,45,true,2026-08-22T19:18:42-05:00
AMB-002,4.69949,-74.109271,18,22,true,2026-08-22T20:15:01-05:00
AMB-002,4.607144,-74.083506,25,58,true,2026-08-22T21:58:19-05:00
AMB-002,4.628232,-74.213088,65,31,true,2026-08-22T22:02:37-05:00
AMB-002,4.696916,-74.126384,65,45,true,2026-08-22T23:10:38-05:00
AMB-002,4.605749,-74.077209,120,0,true,2026-08-22T23:52:14-05:00
AMB-002,4.621532,-74.214968,120,0,true,2026-08-23T00:07:09-05:00
AMB-002,4.706803,-74.116403,8,45,true,2026-08-23T01:41:03-05:00
AMB-002,4.603919,-74.087355,120,58,true,2026-08-23T02:04:25-05:00
AMB-002,4.643188,-74.195399,12,14,true,2026-08-23T03:43:53-05:00
AMB-002,4.6929,-74.127935,25,45,true,2026-08-23T03:35:07-05:00
AMB-002,4.610926,-74.071789,8,45,true,2026-08-23T04:52:43-05:00
AMB-002,4.626954,-74.213975,25,31,true,2026-08-23T05:28:48-05:00
AMB-002,4.693024,-74.126443,25,58,true,2026-08-23T06:10:04-05:00
AMB-003,4.616809,-74.138352,120,0,true,2026-08-22T19:13:20-05:00
AMB-003,4.741155,-74.085626,8,0,true,2026-08-22T19:56:56-05:00
AMB-003,4.742857,-74.090645,8,22,true,2026-08-22T20:17:23-05:00
AMB-003,4.618873,-74.155574,12,22,true,2026-08-22T21:31:22-05:00
AMB-003,4.734577,-74.095142,8,14,true,2026-08-22T22:28:14-05:00
AMB-003,4.724451,-74.080908,12,31,true,2026-08-22T23:14:50-05:00
AMB-003,4.627838,-74.132839,12,0,true,2026-08-22T23:37:07-05:00
AMB-003,4.731161,-74.092082,25,14,true,2026-08-23T00:54:16-05:00
AMB-003,4.738862,-74.0736,18,45,true,2026-08-23T01:13:07-05:00
AMB-003,4.631721,-74.134647,18,0,true,2026-08-23T02:38:32-05:00
AMB-003,4.74338,-74.085263,12,31,true,2026-08-23T03:37:05-05:00
AMB-003,4.729592,-74.086336,65,22,true,2026-08-23T03:01:06-05:00
AMB-003,4.627399,-74.15441,120,58,true,2026-08-23T04:01:59-05:00
AMB-003,4.740269,-74.081486,8,58,true,2026-08-23T05:09:21-05:00
AMB-003,4.725555,-74.087386,120,0,true,2026-08-23T06:33:45-05:00
AMB-004,4.48733,-74.12531,120,0,true,2026-08-22T19:01:01-05:00
AMB-004,4.673375,-74.155065,65,45,true,2026-08-22T19:17:20-05:00
AMB-004,4.75896,-74.082041,12,31,true,2026-08-22T20:48:22-05:00
AMB-004,4.506145,-74.121926,120,0,true,2026-08-22T21:40:15-05:00
AMB-004,4.675056,-74.145458,8,14,true,2026-08-22T22:14:38-05:00
AMB-004,4.750903,-74.080563,65,14,true,2026-08-22T23:45:01-05:00
AMB-004,4.494237,-74.114766,12,0,true,2026-08-22T23:13:59-05:00
AMB-004,4.674268,-74.148352,18,31,true,2026-08-23T00:45:10-05:00
AMB-004,4.739009,-74.099281,12,22,true,2026-08-23T01:29:33-05:00
AMB-004,4.489833,-74.116909,8,58,true,2026-08-23T02:13:08-05:00
AMB-004,4.661809,-74.146511,120,14,true,2026-08-23T03:55:10-05:00
AMB-004,4.753409,-74.096091,25,14,true,2026-08-23T03:04:38-05:00
AMB-004,4.491267,-74.113545,18,58,true,2026-08-23T04:51:05-05:00
AMB-004,4.677991,-74.14337,40,22,true,2026-08-23T05:36:12-05:00
AMB-004,4.755664,-74.082587,65,31,true,2026-08-23T06:27:42-05:00
AMB-005,4.640539,-74.111376,12,31,false,2026-08-22T19:15:07-05:00
AMB-005,4.67441,-74.066608,25,31,false,2026-08-22T19:03:51-05:00
AMB-005,4.654222,-74.056927,8,22,false,2026-08-22T20:46:31-05:00
AMB-005,4.628157,-74.10484,8,0,false,2026-08-22T21:29:26-05:00
AMB-005,4.670523,-74.076278,40,14,false,2026-08-22T22:17:44-05:00
AMB-005,4.673314,-74.06878,120,0,false,2026-08-22T23:46:24-05:00
AMB-005,4.64495,-74.113277,25,45,false,2026-08-22T23:50:48-05:00
AMB-005,4.682356,-74.060921,12,0,false,2026-08-23T00:34:44-05:00
AMB-005,4.675337,-74.067517,65,14,false,2026-08-23T01:57:25-05:00
AMB-005,4.64015,-74.108108,18,22,false,2026-08-23T02:17:25-05:00
AMB-005,4.683815,-74.067047,65,45,false,2026-08-23T03:24:27-05:00
AMB-005,4.67721,-74.073819,12,0,false,2026-08-23T03:34:21-05:00
AMB-005,4.626374,-74.112568,12,31,false,2026-08-23T04:23:21-05:00
AMB-005,4.681844,-74.058424,25,45,false,2026-08-23T05:07:47-05:00
AMB-005,4.656714,-74.074447,8,45,false,2026-08-23T06:29:23-05:00
AMB-006,4.636265,-74.148184,12,45,true,2026-08-22T19:06:29-05:00
AMB-006,4.734143,-74.094225,40,0,true,2026-08-22T19:14:19-05:00
AMB-006,4.688204,-74.112597,25,0,true,2026-08-22T20:29:01-05:00
AMB-006,4.63833,-74.164126,12,45,true,2026-08-22T21:39:15-05:00
AMB-006,4.740619,-74.091625,18,31,true,2026-08-22T22:21:13-05:00
AMB-006,4.704303,-74.108376,18,22,true,2026-08-22T23:57:47-05:00
AMB-006,4.636616,-74.160085,65,14,true,2026-08-22T23:00:58-05:00
AMB-006,4.744439,-74.080152,8,45,true,2026-08-23T00:29:51-05:00
AMB-006,4.710062,-74.116702,120,22,true,2026-08-23T01:22:44-05:00
AMB-006,4.641279,-74.162304,40,22,true,2026-08-23T02:44:58-05:00
AMB-006,4.743934,-74.085864,120,31,true,2026-08-23T03:35:52-05:00
AMB-006,4.703387,-74.115853,25,58,true,2026-08-23T03:41:16-05:00
AMB-006,4.630991,-74.1517,120,58,true,2026-08-23T04:04:51-05:00
AMB-006,4.739923,-74.090103,25,14,true,2026-08-23T05:00:43-05:00
AMB-006,4.69331,-74.099945,8,31,true,2026-08-23T06:50:58-05:00
AMB-007,4.610682,-74.068144,25,14,true,2026-08-22T19:58:12-05:00
AMB-007,4.628464,-74.220363,120,22,true,2026-08-22T19:41:36-05:00
AMB-007,4.620004,-74.144976,18,0,true,2026-08-22T20:24:56-05:00
AMB-007,4.609083,-74.064999,8,58,true,2026-08-22T21:12:09-05:00
AMB-007,4.621335,-74.2245,65,14,true,2026-08-22T22:09:16-05:00
AMB-007,4.628906,-74.149459,12,22,true,2026-08-22T23:55:17-05:00
AMB-007,4.593403,-74.071909,40,0,true,2026-08-22T23:37:54-05:00
AMB-007,4.631497,-74.202777,120,22,true,2026-08-23T00:00:51-05:00
AMB-007,4.636076,-74.151577,65,31,true,2026-08-23T01:23:12-05:00
AMB-007,4.598162,-74.051383,40,0,true,2026-08-23T02:29:19-05:00
AMB-007,4.625042,-74.223581,18,0,true,2026-08-23T03:26:47-05:00
AMB-007,4.633226,-74.131135,25,45,true,2026-08-23T03:59:45-05:00
AMB-007,4.591958,-74.056277,65,14,true,2026-08-23T04:56:22-05:00
AMB-007,4.642576,-74.215075,120,0,true,2026-08-23T05:59:06-05:00
AMB-007,4.64065,-74.131711,18,14,true,2026-08-23T06:21:49-05:00
AMB-008,4.661082,-74.155827,8,31,true,2026-08-22T19:34:29-05:00
AMB-008,4.572574,-74.096734,12,45,true,2026-08-22T19:42:17-05:00
AMB-008,4.572103,-74.146451,12,31,true,2026-08-22T20:05:48-05:00
AMB-008,4.679848,-74.140054,8,22,true,2026-08-22T21:59:37-05:00
AMB-008,4.581751,-74.097748,25,22,true,2026-08-22T22:58:48-05:00
AMB-008,4.557939,-74.166005,40,0,true,2026-08-22T23:30:37-05:00
AMB-008,4.67403,-74.138659,12,31,true,2026-08-22T23:13:22-05:00
AMB-008,4.582039,-74.093327,40,31,true,2026-08-23T00:15:16-05:00
AMB-008,4.570603,-74.144191,65,45,true,2026-08-23T01:00:39-05:00
AMB-008,4.66584,-74.141474,12,0,true,2026-08-23T02:32:38-05:00
AMB-008,4.583716,-74.105011,120,0,true,2026-08-23T03:03:20-05:00
AMB-008,4.562826,-74.15397,25,0,true,2026-08-23T03:45:24-05:00
AMB-008,4.677343,-74.153762,40,0,true,2026-08-23T04:40:42-05:00
AMB-008,4.587039,-74.092251,18,0,true,2026-08-23T05:20:36-05:00
AMB-008,4.565426,-74.158289,18,31,true,2026-08-23T06:10:10-05:00
AMB-009,4.643023,-74.149912,120,14,false,2026-08-22T19:44:17-05:00
AMB-009,4.575637,-74.114051,25,58,false,2026-08-22T19:27:45-05:00
AMB-009,4.619707,-74.206962,65,0,false,2026-08-22T20:44:16-05:00
AMB-009,4.64393,-74.145777,18,45,false,2026-08-22T21:41:21-05:00
AMB-009,4.577291,-74.125039,18,22,false,2026-08-22T22:18:01-05:00
AMB-009,4.638413,-74.207337,8,58,false,2026-08-22T23:04:55-05:00
AMB-009,4.619999,-74.135236,18,0,false,2026-08-22T23:23:09-05:00
AMB-009,4.568545,-74.126978,12,22,false,2026-08-23T00:21:04-05:00
AMB-009,4.625901,-74.193192,25,0,false,2026-08-23T01:12:47-05:00
AMB-009,4.625038,-74.138015,65,0,false,2026-08-23T02:13:52-05:00
AMB-009,4.569274,-74.118677,25,0,false,2026-08-23T03:14:54-05:00
AMB-009,4.619905,-74.196768,65,0,false,2026-08-23T03:56:44-05:00
AMB-009,4.632476,-74.139128,65,22,false,2026-08-23T04:03:22-05:00
AMB-009,4.584657,-74.13082,40,0,false,2026-08-23T05:55:45-05:00
AMB-009,4.63012,-74.202285,25,45,false,2026-08-23T06:23:25-05:00
AMB-010,4.630189,-74.215188,120,0,true,2026-08-22T19:46:11-05:00
AMB-010,4.644835,-74.206388,65,58,true,2026-08-22T19:05:59-05:00
AMB-010,4.663874,-74.052982,40,0,true,2026-08-22T20:51:46-05:00
AMB-010,4.638813,-74.21866,65,58,true,2026-08-22T21:47:43-05:00
AMB-010,4.640789,-74.212125,40,22,true,2026-08-22T22:28:19-05:00
AMB-010,4.654663,-74.048037,25,14,true,2026-08-22T23:56:56-05:00
AMB-010,4.640122,-74.219329,25,45,true,2026-08-22T23:47:46-05:00
AMB-010,4.628503,-74.196969,120,58,true,2026-08-23T00:11:15-05:00
AMB-010,4.653504,-74.056541,12,22,true,2026-08-23T01:42:02-05:00
AMB-010,4.639454,-74.202657,18,0,true,2026-08-23T02:31:41-05:00
AMB-010,4.635794,-74.196236,12,45,true,2026-08-23T03:09:18-05:00
AMB-010,4.653576,-74.063583,12,45,true,2026-08-23T03:41:59-05:00
AMB-010,4.633451,-74.217073,25,22,true,2026-08-23T04:30:58-05:00
AMB-010,4.626483,-74.197598,65,22,true,2026-08-23T05:57:49-05:00
