codigo_sede,nombre_sede,localidad,subred,complejidad,estado,motivo,declarado_en,vence_en,declarado_por
110010532201,Clínica La Inmaculada,Chapinero,Norte,baja,recibiendo,,2026-08-22T19:08:00-05:00,,jefe_urgencias:110010532201
110010559704,Centro de Atención En Salud Cafam Floresta,Barrios Unidos,Norte,baja,recibiendo,,2026-08-22T19:44:00-05:00,,jefe_urgencias:110010559704
110010559711,Centro de Atención En Salud Cafam Suba,Suba,Norte,baja,recibiendo,,2026-08-22T19:00:00-05:00,,jefe_urgencias:110010559711
110010561801,Fundación Santa Fe de Bogotá,Usaquén,Norte,alta,recibiendo,,2026-08-22T19:40:00-05:00,,jefe_urgencias:110010561801
110010566801,Hospital Universitario Clínica San Rafael,San Cristóbal,Centro Oriente,alta,saturado,Sin camas UCI adultos,2026-08-22T19:04:00-05:00,2026-08-23T01:04:00-05:00,jefe_urgencias:110010566801
110010568101,Fundación Hospital de La Misericordia,Los Mártires,Centro Oriente,alta,recibiendo,,2026-08-22T19:43:00-05:00,,jefe_urgencias:110010568101
110010572501,Clínica de Nuestra Señora de La Paz,Kennedy,Sur Occidente,baja,recibiendo,,2026-08-22T19:22:00-05:00,,jefe_urgencias:110010572501
110010606501,Instituto Nacional de Cancerología,San Cristóbal,Centro Oriente,media,contingencia,Falla de suministro de oxígeno en el piso 3,2026-08-22T19:24:00-05:00,2026-08-22T21:24:00-05:00,jefe_urgencias:110010606501
110010644701,Fundación Abood Shaio,Suba,Norte,alta,recibiendo,,2026-08-22T19:43:00-05:00,,jefe_urgencias:110010644701
110010645301,Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá,Engativá,Norte,baja,recibiendo,,2026-08-22T19:16:00-05:00,,jefe_urgencias:110010645301
110010645318,Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Norte,Usaquén,Norte,baja,contingencia,Falla de suministro de oxígeno en el piso 3,2026-08-22T19:53:00-05:00,2026-08-22T21:53:00-05:00,jefe_urgencias:110010645318
