Año;Localidad;Indicador;Promedio
2017;Usaquén;Promedio;20,6
2017;Chapinero;Promedio;17,4
2017;Santa Fe;Promedio;19,4
2017;San Cristóbal;Promedio;23,1
2017;Usme;Promedio;28,8
2017;Tunjuelito;Promedio;21,6
2017;Bosa;Promedio;30,9
2017;Kennedy;Promedio;24,7
2017;Fontibón;Promedio;25,4
2017;Engativá;Promedio;24,7
2017;Suba;Promedio;25,6
2017;Barrios Unidos;Promedio;20,9
2017;Teusaquillo;Promedio;18,1
2017;Los Mártires;Promedio;19,8
2017;Antonio Nariño;Promedio;20,3
2017;Puente Aranda;Promedio;27,3
2017;La Candelaria;Promedio;21,7
2017;Rafael Uribe Uribe;Promedio;22,3
2017;Ciudad Bolívar;Promedio;29,7
2017;Sumapaz;Promedio;77,4
2017;Bogotá D.C.;Promedio;24,7
2021;Usaquén;Promedio;25,2
2021;Chapinero;Promedio;23,7
2021;Santa Fe;Promedio;22
2021;San Cristóbal;Promedio;31
2021;Usme;Promedio;33,5
2021;Tunjuelito;Promedio;25
2021;Bosa;Promedio;35,4
2021;Kennedy;Promedio;29,4
2021;Fontibón;Promedio;26,3
2021;Engativá;Promedio;27
2021;Suba;Promedio;27,6
2021;Barrios Unidos;Promedio;20,2
2021;Teusaquillo;Promedio;17,6
2021;Los Mártires;Promedio;25,1
2021;Antonio Nariño;Promedio;18,5
2021;Puente Aranda;Promedio;22,9
2021;La Candelaria;Promedio;22,4
2021;Rafael Uribe Uribe;Promedio;26,5
2021;Ciudad Bolívar;Promedio;31,9
2021;Sumapaz;Promedio;
2021;Bogotá D.C.;Promedio;27,8
