Pestador ;Sede;Dirección;Teléfono;Email;Grupo de Servicio ;BÁSICO;MEDICALIZADO;URGENCIAS
333 ASISTENCIAS MEDICAS SAS SIGLA 333 AM;333 ASISTENCIAS MEDICAS SAS SIGLA 333 AM;DIAGONAL 79 B 62-21 LOCAL 1 PISO 1;3223611646;333asistenciasmedicas@gmail.com;Atención Inmediata;X;;
ADMINISTRADORA CLINICA LA COLINA SAS;ADMINISTRADORA CLINICA LA COLINA SAS;CALLE 167 72 07 PISO 1,PISO 2 (EXCEPTO CONSULTORIOS 215 Y 216),PISO 3, PISO 4,PISO 5,PISO 6,PISO 7 Y PISO 8;6013905355;notificacionesclc@clinicadelcountry.com;Atención Inmediata;;;X
ADMINISTRADORA COUNTRY S.A.S;CLINICA DEL COUNTRY IPS;CRA 16 # 82 57;6013905099;notificacionescdc@clinicadelcountry.com;Atención Inmediata;;;X
AEROMAS SAS;AEROMAS SAS;Avenida Calle 26 113 81 Aeropuerto Internacional El Dorado En 6 Hg 15 Piso 1 Nzag;3175867106;habilitacion@aeromas.com.co;Atención Inmediata;;X;
aerosanidad sas;aerosanidad sas;CR 28A #71-94 PISO 1;3507256387;gerencia@aerosanidadsas.com;Atención Inmediata;X;;
Alianza Codigo Rojo IPS SAS;Alianza Código Rojo IPS SAS;Carrera 18#56 a-46 SUR;3227373252;medicalsaludcodigorojo@gmail.com;Atención Inmediata;X;;
ALIANZA DE AMBULANCIAS MEDICA SAS;ALIANZA DE AMBULANCIAS MEDICA S.A.S;CALLE 102 A # 70 B - 80;6245072 - 6240648;alianzaamedica@hotmail.com;Atención Inmediata;X;;
ALIANZA DE AMBULANCIAS MEDICA SAS;ALIANZA DE AMBULANCIAS MEDICA S.A.S;CALLE 102 A # 70 B - 80;6245072 - 6240648;alianzaamedica@hotmail.com;Atención Inmediata;X;;
ambucol sociedad por acciones simplificadas - ambucol sas;ambucol sociedad por acciones simplificadas - ambucol sas;Calle 151A # 92- 91;4711757;ambucol@gmail.com;Atención Inmediata;X;;
AMBULANCIAS AEREAS DE COLOMBIA S.A.S.;AMBULANCIAS AEREAS DE COLOMBIA S.A.S.;Carrera 103 # 26-92 Int 09 hangar 182;3125488322 3108814575;direccionmedica@ambulanciasaereasdecolombia.com administracion@ambulanciasaereasdecolombia.com;Atención Inmediata;;X;
AMBULANCIAS EMERGENCIAS & SERVICIOS ASISTENCIALES SAS SIGLA AMBULANCIAS E.S.A S.A.S;AMBULANCIAS E.S.A S.A.S SEDE BOGOTA;CALLE 41 B SUR Nº 79 G 21 PISO 1;3133105207;AMBULANCIASESAS@GMAIL.COM;Atención Inmediata;X;;
AMBULANCIAS FUERZA VITAL SAS;AMBULANCIAS FUERZA VITAL SAS;CARRERA 81 A Nº 60-42 SUR PISO 1;3118327515;ambulanciasfuerzavitalsas@gmail.com;Atención Inmediata;X;;
AMBULANCIAS INTEGRALES DE COLOMBIA A.I.C. SAS;AMBULANCIAS INTEGRALES DE COLOMBIA A.I.C. SAS;CALLE 37 SUR # 68 I 23 piso 1;7652655;yulypacan@gmail.com;Atención Inmediata;X;;
AMBULANCIAS MEDICAS PROFESIONALES S.A.S;AMBULANCIAS MEDICAS PROFESIONALES S.A.S;CARRERA 65 B # 74 A 14;6205105, 2250962, 2404330;ambulanciasmedicas@hotmail.com;Atención Inmediata;X;;
AMBULANCIAS PRIMEROS AUXILIOS LTDA;AMBULANCIAS PRIMEROS AUXILIOS LTDA;KR 32 B # 2 43;2770977;operaciones@apa.net.co;Atención Inmediata;X;X;
AMBULANCIAS PRIMEROS AUXILIOS LTDA;AMBULANCIAS PRIMEROS AUXILIOS LTDA;KR 32 B # 2 43;2770977;operaciones@apa.net.co;Atención Inmediata;X;X;
AMBULANCIAS SEGUNDOS DE VIDA SAS;AMBULANCIAS SEGUNDOS DE VIDA SEDE BOGOTA;CALLE 69 A BIS # 90 - 67 PISO 1;3102244480;ambulanciassegundosdevida@gmail.com;Atención Inmediata;X;;
AMBULANCIAS Y SERVICIOS MEDICOS S A;AMBULANCIAS Y SERVICIOS MEDICOS S A;CL 62 # 26 29;2359377;asmambulancias@yahoo.com;Atención Inmediata;X;X;
AMBULANCIAS Y SERVICIOS MEDICOS S A;AMBULANCIAS Y SERVICIOS MEDICOS S A;CL 62 # 26 29;2359377;asmambulancias@yahoo.com;Atención Inmediata;X;X;
Ambulife sas;Ambulife sas;CARRERA 82 Nº 70 A 03 SUR P1;3144937618;AMBULIFESAS@GMAIL.COM;Atención Inmediata;X;X;
Ambulife sas;Ambulife sas;CARRERA 82 Nº 70 A 03 SUR P1;3144937618;AMBULIFESAS@GMAIL.COM;Atención Inmediata;X;X;
AMBUMED SAS;AMBUMED SAS SEDE BOGOTA;CALLE 49 A SUR 28-36 PISO 1;3002089148;ambumedsas.724@gmail.com;Atención Inmediata;X;;
